Reaction_id
3OAS160
3OAS140
HISTD
BTS5
EX_co2(e)
EDTXS2_kt
FLDR2
EX_fe2(e)
PPBNGS
PPCDC
UAPGR
3OAS100
CU2tpp
GLUPRT
DHFR
EGMEACPR
PGSA160
MECDPS
EX_zn2(e)
3OAS80
ASAD
QULNS
EX_o2(e)
G1SAT
TDSK2
DBTS
UAGDP
IMPC
ASPK
S7PI
OMPHHX
ADSL1r
PGCD
METS
FE2tex
CHORM
LIPOS
PPNCL2
ALAALAr
KDOPP
GRTT
RBFSb
HISTP
ICYSDS
OPMEACPR
E4PD
ADCL
UAGCVT
AHC
IPPMIa
DHDPRy
MCOATA
AGMHE
ADSL2r
DHFS
AHSERL2
DPCOAK
UPPDC1
O2tpp
NADK
UAAGDS
EX_so4(e)
NH4tpp
3OAR160
IPPS
ORPT
THDPS
HSTPT
DHQD
HEMEOS
3HAD80
NDPK7
DDPA
GMHEPK
EX_cobalt2(e)
3HAD60
AOXSr2
PTPATi
DAPE
APRAUR
3OAR140
DHDPS
RPI
EX_ca2(e)
LIPAH
KARA1
AGPAT160
PSCVT
GLUTRS
PPPGO
I2FE2ST
DHQS
PRFGS
IPMD
PANTS
EAR160y
PSD160
UAMAS
KDOPS
3HAD40
OPMEACPD
MOAT_kt
CDPMEK
UPP3MT
FBA
KDOCT2
PRATPP
FE3abcpp
O2tex
MALCOAMT
DHAD1
OCBTi
PSERT
GCALDD
DHAD2
5DOAN
KARA2
LIPOCT
OMCDC
I2FE2SR
FCLT
3OAS60
ACGK
EX_k(e)
DHNPA3
PMDPHT
FE3DCITCH
PRASCSi
GMHEPAT
DM_5DRIB
FMNAT
LPADSS2
USHD1
SULRi
DASYN160
CLtex
BACCL
GMPS2
COBALT2tex
EX_cl(e)
EAR120y
AGPR
UMPK
MG2tex
HEPK1_kt
NDPK8
PRAGS
PMEACPE
FEROpp
RBFSa
EX_nh4(e)
MEPCT
OPHHX
UDCPDPS
PERD
SO4tex
3OAR40
MOBDtex
AMAOTr
OGMEACPS
OPHBDC
3OAR60
MOAT2_kt
3HAD100
OHPBAT
DHORTS
IGPS
3OAR120
OGMEACPD
3OAR80
CO2tex
EX_ni2(e)
DNTPPA
GF6PTA
HBZOPT
UAGPT3
PETHY
NDPK4
NH4tex
DNMPPA
PRAIi
3OAR100
ASPTA
UAMAGS
G1PACT
AIRC3
OMMBLHX
OHPHM
RNDR3
GK1
I2FE2SSfdx
3HAD140
GLUTRR
MOBDabcpp
I4FE4SRfdx
EAR100y
METAT
PGAMT
OMPDC
I4FE4ST
ADCS
DXPS
CLt3_2pp
NADS1
NAtex
RNDR1
TRDR
MTHFR2
PItex
DTMPK
SADT
UHGADA2
TMDS
AICART
OPMEACPS
PSSA160
ADSS
CHORS
IGPDH
OMBZLM
IG3PS
UGMDDS
DAPDC
FBP
MOHMT
EX_cu2(e)
RBFK
DM_AMOB
MCTP1App
EX_pi(e)
CTPS2
A5PISO
HSDy
HEPT2_kt
3HAD160
EAR80y
NNDPR
HEPK3_kt
EX_mobd(e)
Ktex
HEPT1_kt
PDX5POi
Zn2tex
CAt6pp
UDCPDP
DMQMT
EX_na1(e)
HSERTA
COBALT2tpp
PAPPT3
ASNS1
GTPCI
SDPDS
BiomassKT2440_ME
GLNS
NDPK2
ACODA
ATPPRT
ASPCT
GMHEPPA
MECDPDH5
CA2tex
ACCOAC
UPP3S
EAR40y
UAGAAT2
IPPMIb
3HAD120
DXPRIi
HMBS
ZNabcpp
DHPPDA2
EPMEACPR
ACGS
SHCHD2
EX_pet(e)
AIRC2
3OAS120
SHKK
MPTG
PDX5PS
DB4PS
I2FE2SS2fdx
GTPCII2
ACOTA
RNDR2
CO2tpp
PRAIS
PRAMPC
NI2tex
PRMICI
ANPRT
ARGSL
ARGSS
EDTXS1_kt
DPR
PSP_L
EAR60y
SHCHF
ACHBS
HEPK2_kt
DMATT
NDPK5
OGMEACPR
ACLS
SDPTA
EX_mg2(e)
PNTK
CHRPL
OCTDPS
U23GAAT2
NNATr
EAR140y
