,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'DURAD', 'CSPMDDC', 'AKGDa', 'HACD4i'}",4,1.2954490387177093,0.17274152866923687,0.0,2.2536423841059596
1,"{'PROD2', 'ENO', 'ACONTa', 'AKGDa'}",4,0.5390819675551723,0.2604247083517979,0.33639251666563036,0.5818167968353343
2,"{'DURAD', 'CSPMDDC', 'THRD_L', 'AKGDa'}",4,1.2953632462124158,0.17260589711602967,0.0,2.253642384105961
3,"{'PROD2', 'ENO', 'ACONTa', 'PDHcr'}",4,0.3974227842878958,0.29756669192131857,0.19116929737309396,0.44218886822306935
4,"{'DURAD', 'GGDAPS', 'PDHcr', 'HACD4i'}",4,1.2374633361958358,0.17027896506433346,0.0,2.1164779874213835
5,"{'ACONTa', 'AST', 'DURAD', 'GGDAPS'}",4,1.2918683146809904,0.1678846646818929,0.0,2.2475524475524566
6,"{'ACONTa', 'GGDAPS', 'HACD4i', 'DURAD', 'OXDHCOAT'}",5,1.2919702885853015,0.16786675096527617,0.0,2.247552447552445
7,"{'ACONTa', 'GGDAPS', 'CYTDH', 'FDH', 'DURAD'}",5,1.3147537125809985,0.16386242048149208,0.0,2.2475524475524558
8,"{'GGDAPS', 'DURAD', 'ACOAD23f', 'HPYRRy', 'AKGDa'}",5,1.295344394944998,0.17276039367738003,0.0,2.253642384105961
9,"{'GGDAPS', 'DURAD', 'GLYD', 'ACOAD7f', 'AKGDa'}",5,1.2953470282189143,0.1727599189550661,0.0,2.253642384105961
