,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,{'ADPT'},1,4.607676735887342e-05,0.4177961816375402,0.0,0.022616564417178714
1,{'RHACOAR80'},1,0.0,0.41780469358007855,0.0,0.022616564417162976
2,{'RPE'},1,0.0,0.4161224537862878,0.0,0.022616564417185514
3,{'DURAD'},1,0.0,0.41779734241182775,0.0,0.022616564417181184
4,{'AADSACYCL'},1,0.0,0.4178046935801111,0.0,0.02261656441717877
5,{'GLYALDDr'},1,0.0,0.4092358382621517,0.0,0.022152760736185537
6,"{'DURAD', 'RPE'}",2,2.7419166936937245e-10,0.4161151616956195,0.0,0.022616564417179214
7,"{'DURAD', 'RHACOAR80'}",2,0.0,0.41779734241185246,0.0,0.022616564417179796
8,"{'HACD4i', 'HACD5i'}",2,0.0,0.4178046935801473,0.0,0.022616564417175966
9,"{'DURAD', 'RHACOAR80', 'RPE'}",3,0.0,0.4161151616956164,0.0,0.022616564417165724
