,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'FE3DCITR4', 'DHMPTR', 'HACD20i'}",3,0.0,0.4178046935800731,0.0,0.022616564417177243
1,"{'HACD20i', 'GGDAPAH', 'ALLTAMH'}",3,2.848763724916381e-10,0.41780469358006367,0.0,0.02261656441717058
2,"{'ACONTb', 'PDHa', 'PDHcr'}",3,2.0898196506635713e-09,0.3841324127775506,0.0,0.02247552447551765
3,"{'ACS', 'MAN1PT2', 'G5SD'}",3,4.996842262877665e-10,0.4074555856318088,0.0,0.02261656441719212
4,"{'LPCOXc', 'ACONTb', 'GALUi'}",3,1.3578425633875568e-08,0.3948266755025406,0.0,0.022475524475520772
5,"{'HACD2i', 'KAT7', 'PDHcr'}",3,2.897841563931358e-09,0.40049844059559053,0.0,0.022121088435372277
6,"{'3AIBT2', 'TRPS3', 'GLUCYS'}",3,3.407953114153983e-09,0.4178046935786271,0.0,0.022616564417166085
7,"{'GALUi', 'INSH', 'GTHS'}",3,2.7255012413629487e-09,0.41780469356845895,0.0,0.022616564417176993
8,"{'GGDAPAH', 'GTHS', 'ALLTAMH'}",3,1.1049133608054262e-08,0.4178046935796962,0.0,0.022616564417174967
9,"{'ACONTb', 'UPPN', 'GGDAPAH'}",3,1.2918500880401431,0.16788466468216573,0.0,2.2475524475524513
