,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'PDHcr', 'ABTA', 'FALDM'}",3,1.2758661694578337e-05,0.40049613117863125,0.0,0.02212108843538249
1,"{'DURAD', 'ICDHyr', 'GGDAPDxr'}",3,1.2953446763543042,0.17198443157452292,0.0,2.25364238410596
2,"{'DURAD', 'GGGABAH', 'ICDHyr'}",3,1.2953446763471346,0.17198443157581006,0.0,2.25364238410596
3,"{'ICDHyr', 'PPHNTA', 'FALDM'}",3,1.2543724411596513e-05,0.4044634520872574,0.0,0.022536423841044456
4,"{'PGM', 'PDHcr', 'FALDM'}",3,1.2629884763762367e-05,0.3964537928276386,0.0,0.021349659863953332
5,"{'LPCOXc', 'ICDHyr', 'FALDM'}",3,1.2543723783800531e-05,0.4044634520873723,0.0,0.02253642384106125
6,"{'ALDD19x', 'PDHcr', 'FALDM'}",3,1.2758662098848596e-05,0.4004961311785579,0.0,0.022121088435366212
7,"{'UPPN', 'FUM', 'GGDAPAH'}",3,0.4713469692499465,0.05727531948173457,0.0,0.82013986013986
8,"{'GLYCK', 'OIVD1r', 'FALDM'}",3,1.2003490764008222e-05,0.4178024761279928,0.0,0.022616564417170776
9,"{'PGK', 'ICDHyr', 'FALDM'}",3,1.2698954180189945e-05,0.39862180557969396,0.0,0.02237823129250263
