,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'GRXR', 'FALDM'}",2,1.2003491669826394e-05,0.4178024761278288,0.0,0.022616564417185736
1,"{'ADK1', 'R15BPK'}",2,0.0,0.4178046935800801,0.0,0.0226165644171496
2,"{'ACONTb', 'PGM'}",2,0.0,0.35596896327959987,0.0,0.026799999999979146
3,"{'ECOAH25', 'GGDAPS'}",2,0.0,0.41780469358021916,0.0,0.022616564417157065
4,"{'ACONTb', 'AKGDa'}",2,0.0,0.3797513672998287,0.0,0.02247552447552212
5,"{'PGM', 'AKGDa'}",2,0.0,0.40180127477279476,0.0,0.022378231292528472
6,"{'GLYK', 'CYTDH', 'FALDM'}",3,1.1757307965390995e-05,0.40923366629277946,0.0,0.022152760736182886
7,"{'GLYK', 'GLYCTO1', 'PDHcr', 'FALDM'}",4,1.0782227101116537e-05,0.33385081382582404,0.0,0.018646206896562323
8,"{'ALATRS', 'R15BPK', 'ACONTb', 'PGM', 'FALDM'}",5,1.61843934087657e-05,0.3559668135998882,0.0,0.02679999999999516
9,"{'G3PD2', 'ACONTb', 'PGM', 'AKGDa', 'FALDM'}",5,0.00013573599942496244,0.2658609300631033,0.0,0.14528421052659654
