,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'ALDD19x', 'P5CR'}",2,1.188258269557707e-09,0.41730662147778497,0.0,0.022616564417184626
1,"{'DHPM1', 'ABTA', '3OXCOAT'}",3,0.27121136920426314,0.041780469358059236,0.0,0.4973714285714273
2,"{'DHPM1', 'GLXCL', 'ABTA'}",3,1.2666366005648726,0.17310345807177194,0.0,1.89
3,"{'ACOAD24f', 'GLXCL', 'ECOAH6'}",3,3.651706048657388e-07,0.4070935623963311,0.0,0.022036809815938807
4,"{'PGI', 'ACOAD24f', 'ECOAH6'}",3,2.6116936169273686e-08,0.4178046935263033,0.0,0.02261656441717605
5,"{'PGI', 'MAN1PT2', 'GLXCL'}",3,1.7152913908691225e-08,0.4070936298447493,0.0,0.0220368098159323
6,"{'PACCOAL', 'THRS', 'ACOAD24f'}",3,2.183144276468596e-09,0.40860105684402726,0.0,0.022616564417205998
7,"{'ACOAD24f', 'ALDD19x', 'ECOAH6'}",3,1.1593174770174741e-07,0.4178046678485753,0.0,0.022616564417178076
8,"{'ACONTb', 'CYTK1', 'CSND'}",3,1.2326087511782546e-08,0.3922801468664486,0.0,0.022475524475512695
9,"{'RPE', 'FUM', 'CYTK1'}",3,0.0,0.14354233958196572,0.0,0.00820139860140063
