Strategy,Flux,Biomass,N_of_deletions,C_limit
"['UPPN', 'CS', 'GGDAPAH', 'MALS']",1.554388987254249,0.1217654366381153,4,12
"['UPPN', 'MDH', 'GLXCL', 'GGDAPDxr']",1.2809545273127456,0.1656518973091082,4,12
"['UPPN', 'GLXCL', 'ABTA', 'FALDM']",1.266641576360385,0.1731025388758118,4,12
"['UPPN', 'GGDAPDxr', 'MALS', 'CS', 'FALDM']",1.5543895536843453,0.121764636652347,5,12
"['GLYCTO1', 'ADPT']",3.828063698336264e-05,0.3471056018350883,2,12
"['GAPD', 'LTDCL']",0.0,0.4138401853715748,2,12
"['HEPCT', 'ADPT', 'GLYCTO1']",3.828063710735192e-05,0.3471056018350659,3,12
"['RPE', 'GLYCTO1', 'ADPT', 'NDPK3']",4.019548113002436e-05,0.3447079196066639,4,12
"['OIVD2', 'ACOAD4f', 'ADPT', 'GPDDA4']",4.607676720860127e-05,0.4177961816375674,4,12
"['ADPT', 'GLYCTO1', 'PDHcr', 'HEPCT', 'FALDM']",4.776873999791376e-05,0.3353072644726538,5,12
"['GLUTCOADHc', 'ADPT', 'GLYCTO1', 'PGI', 'FALDM']",4.825274628728816e-05,0.3471037596788286,5,12
"['ADPT', 'GLYCTO1', 'ALDD19x', 'NDPK3', 'RPE']",4.019548113527107e-05,0.3447079196066645,5,12
"['GLYCTO1', 'PDHcr', 'GLYK', 'SUCOAS', 'FALDM']",1.078223040454861e-05,0.3338508138252309,5,12
"['ADPT', 'GLYCTO1', 'ALCD19', 'ACOAD4f', 'NDPK3']",3.818878779970891e-05,0.3462727650331827,5,12
"['GRXR', 'FALDM']",1.2003491669826394e-05,0.4178024761278288,2,12
"['ADK1', 'R15BPK']",0.0,0.4178046935800801,2,12
"['ACONTb', 'PGM']",0.0,0.3559689632795998,2,12
"['ECOAH25', 'GGDAPS']",0.0,0.4178046935802191,2,12
"['ACONTb', 'AKGDa']",0.0,0.3797513672998287,2,12
"['PGM', 'AKGDa']",0.0,0.4018012747727947,2,12
"['GLYK', 'CYTDH', 'FALDM']",1.1757307965390996e-05,0.4092336662927794,3,12
"['GLYK', 'GLYCTO1', 'PDHcr', 'FALDM']",1.0782227101116535e-05,0.333850813825824,4,12
