,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'GGSPMDS', 'ABTA'}",2,4.1937911754441615e-09,0.4178046935800847,0.0,0.022616564417165724
1,"{'ALATA_L', 'PC'}",2,0.0,0.41780469358000566,0.0,0.022616564417160062
2,"{'HSK', 'ORN5O'}",2,0.0,0.4086010572425843,0.0,0.022616564417179796
3,"{'ECOAH7', 'ACOAD3f'}",2,0.0,0.41780469358002775,0.0,0.022616564417162616
4,"{'ACONTa', 'DHPM1', 'GGSPMDS'}",3,1.2918500880376311,0.16788466468260727,0.0,2.2475524475524478
5,"{'KAT21', 'HSK', 'DHPM1', 'GGDAPDxr'}",4,1.2999596890343281,0.17374148481767382,0.0,2.261656441717791
6,"{'ACONTa', 'KAT21', 'DHPM1', 'GGDAPDxr'}",4,1.2918500880410673,0.167884664682004,0.0,2.247552447552449
7,"{'ACONTb', 'ECOAH4', 'DHPM1', 'GGDAPDxr'}",4,1.2919473370139873,0.16786758131808077,0.0,2.2475524475524464
8,"{'DHPM1', 'RPE', 'FUM', 'ABTA'}",4,0.47134708703883355,0.057171220332723656,0.0,0.8201398601398604
9,"{'ACONTa', 'DHPM1', 'ABTA', 'ACOAD6f'}",4,1.2918710162582376,0.16788419009685537,0.0,2.2475524475524473
