,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'SHK3D', 'ECOAH27'}",2,2.670655363523622e-10,0.4178046935190782,0.0,0.022616564417178547
1,"{'KAT20', 'SUCOAS'}",2,7.313474409409439e-10,0.40658941507209695,0.0,0.02253642384105564
2,"{'GLUR', 'PPK2r'}",2,0.0,0.41780469358007477,0.0,0.02261656441718171
3,"{'GLUDy', 'GLUR'}",2,0.0,0.4178046935800499,0.0,0.02261656441718332
4,"{'AKGDa', 'PPCSCT'}",2,0.0,0.40628965590528443,0.0,0.02253642384106544
5,"{'GLUDy', 'PPK2r'}",2,0.0,0.4178046935801214,0.0,0.02261656441716825
6,"{'SHK3D', '3OXCOAT'}",2,0.0,0.09148286170389729,0.0,0.004992024539884378
7,"{'ECOAH27', 'GLUDy'}",2,0.0,0.4178046935800823,0.0,0.02261656441718507
8,"{'GLYALDDr', '3OXCOAT'}",2,0.0,0.08351691345132162,0.0,0.004528220858886697
9,"{'LSERDHr', 'ABUTD'}",2,0.0,0.4178046935800795,0.0,0.022616564417169832
