,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'UPPN', 'XAND', 'ACONTb', 'ABTA'}",4,1.291868314678255,0.167884664682374,0.0,2.2475524475524473
1,"{'PROD2', 'CS', 'ABTA', 'MALS'}",4,0.5801400898217313,0.26877314225350624,0.4742210418706107,0.712354052819886
2,"{'DURAD', 'ACOAD8f', 'CAT', 'ABTA'}",4,1.2066570590866312,0.16490463080667403,0.0,2.099325153374233
3,"{'P5CD', 'DURAD', 'MALS', 'ACONTb', 'ABTA'}",5,1.597073060161317,0.11426946422822992,0.0,2.2475524475524473
4,"{'PGK', 'DURAD', 'ABTA', 'CS', 'KAT8'}",5,1.3010129576431642,0.16627822876385884,0.0,2.2115723270440255
5,"{'ENO', 'ALATRS', 'DURAD', 'ACONTb', 'ABTA'}",5,1.3584777442111715,0.1513577393458204,0.0,2.211572327044024
6,"{'DURAD', 'MALS', 'PROD2', 'ACONTb', 'ABTA'}",5,1.5970730601613234,0.11426946422822992,0.0,2.2475524475524473
7,"{'P5CD', 'UPPN', 'MALS', 'ABTA', 'CS'}",5,1.5970730601386254,0.11426946423221822,0.0,2.2475524475524473
8,"{'UPPN', 'MCCC', 'HMGL', 'ACONTb', 'ABTA'}",5,1.2918683146816414,0.16788466468177995,0.0,2.247552447552448
9,"{'UPPN', 'ENO', 'HACD7i', 'ABTA', 'CS'}",5,1.3584608499877282,0.15135729021384994,0.0,2.2115723270440246
