,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'PROD2', 'ACONTb', 'PGM', 'PDHcr'}",4,0.39742278335359654,0.29756669192734714,0.1911692973729628,0.44218886822310804
1,"{'P5CD', 'ACONTb', 'PGM', 'PDHcr'}",4,0.3974227833535422,0.29756669192734964,0.1911692973727847,0.4421888682231519
2,"{'DHPM1', 'ACONTb', 'TRPS1', 'GGDAPAH'}",4,1.291850088041068,0.16788466468200466,0.0,2.2475524475524473
3,"{'LPCOXc', 'PGM', 'PDHcr', 'HACD20i'}",4,1.3908548340824112e-09,0.39645613815555986,0.0,0.02134965986395869
4,"{'LPCOXc', 'ALCD2x', 'TPI', 'PDHcr'}",4,0.0,0.3958409747457896,0.0,0.02128476821191211
5,"{'LPCOXc', 'PGM', 'ALCD2x', 'TPI'}",4,0.0,0.41088734442185804,0.0,0.022036809815974417
6,"{'LPCOXc', 'TRPS1', 'ALCD2x', 'TPI'}",4,1.5188283963851745e-10,0.41119458461394287,0.0,0.02215276073619571
7,"{'SSALx', 'DHPM1', 'ACONTb', 'GGDAPO'}",4,1.2918500880400732,0.16788466468217847,0.0,2.247552447552446
8,"{'LPCOXc', 'DHPM1', 'TRPS1', 'TPI'}",4,0.0,0.4111873151356418,0.0,0.022152760736197527
9,"{'GGDAPO', 'DHPM1', 'PPKr', 'PDHcr'}",4,1.2375226209474604,0.1673316025534922,0.0,2.1164779874213835
