,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'DURAD', 'GGDAPS', 'HSK'}",3,1.2999596890214953,0.17374148481999227,0.0,2.2616564417177916
1,"{'DURAD', 'GGDAPS', 'HSK', 'IPDDI'}",4,1.299976237106488,0.17374148481854712,0.0,2.261656441717792
2,"{'FUM', 'DMPPS', 'DHPS', 'IPDDI'}",4,0.41067882469123124,0.07196821177542395,0.0,0.82013986013986
3,"{'FUM', 'HSK', 'ADPT', 'PPCK'}",4,4.4451515924373575e-05,0.12773135142073047,0.0,0.008044094488186236
4,"{'DURAD', 'GGDAPS', 'ORNDC', 'SUCOAS'}",4,1.2953599808240481,0.17283293020657703,0.0,2.2536423841059605
5,"{'DURAD', 'GGDAPS', 'CS', 'CBMKr'}",4,1.291866125249924,0.1667609651089936,0.0,2.2475524475524495
6,"{'DURAD', 'GGDAPS', 'DMPPS', 'IPDDI'}",4,2.0354907975457306,0.041780469358059236,0.0,2.261656441717792
7,"{'DURAD', 'GGDAPS', 'HSK', 'CBMKr'}",4,1.2999626667818251,0.17269157715006897,0.0,2.261656441717793
8,"{'4CMLCL_kt', 'DMPPS', 'DHPS', 'IPDDI'}",4,0.24994037550053466,0.04567909592347869,0.0,0.4973714285714284
9,"{'DURAD', 'GGDAPS', 'CS', 'CYTDH'}",4,1.2918500879671913,0.16788466469498103,0.0,2.2475524475524473
