,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'APTNAT', 'ECOAH4', 'IMPD'}",3,-1.0693113061677195e-12,0.4169372751030034,0.0,0.022616564417180907
1,"{'FACOAE60', 'ECOAH2', 'DCTPD'}",3,8.826679387397007e-09,0.4178046935800773,0.0,0.02261656441717111
2,"{'APTNAT', 'AADSACYCL', 'PDHcr'}",3,0.0,0.4004984411119695,0.0,0.0221210884353725
3,"{'AADSACYCL', 'PDHcr', 'ECOAH4'}",3,0.0,0.4004984411121315,0.0,0.022121088435394357
4,"{'APTNAT', 'AADSACYCL', 'FACOAE80'}",3,8.313598420794932e-10,0.4178046935800073,0.0,0.02261656441718618
5,"{'MAN6PI', 'IMPD', 'PGM'}",3,1.9740748896657223e-09,0.4158044193273342,0.0,0.022152760736201427
6,"{'XAND', 'NTD4', 'KAT22'}",3,7.23048287909478e-10,0.4178046935802189,0.0,0.02261656441717541
7,"{'ECOAH2', 'DCTPD', 'ECOAH3'}",3,0.0,0.4178046935800758,0.0,0.022616564417192897
8,"{'ECOAH4', 'DCTPD', 'PDHcr'}",3,0.0,0.4004984411119928,0.0,0.02212108843537576
9,"{'IMPD', 'PGM', 'MALS'}",3,0.0,0.41580441932733714,0.0,0.02215276073620044
