,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'PPA', 'CYTK1', 'PPKr', 'HSK'}",4,1.750352736599332,0.04752776443673899,0.0,1.7554657736505683
1,"{'PPA', 'PPKr', 'URIDK2r', 'HSK'}",4,1.7240646978409402,0.05253233927665109,0.0,1.7294406152885413
2,"{'PPA', 'PPKr', 'ABTA', 'HSK'}",4,1.7232873978541974,0.05267455528528015,0.0,1.7286710882924372
3,"{'PPA', 'GGSPMDS', 'PPKr', 'HSK'}",4,1.723287397853734,0.052674555285326226,0.0,1.728671088292415
4,"{'HPYRI', 'PPA', 'PPKr', 'HSK'}",4,1.7232328025263435,0.05268253349376624,0.0,1.7286170389183033
5,"{'PPA', 'CYTDH', 'PPKr', 'HSK'}",4,1.7232328025264343,0.05268253349375751,0.0,1.7286170389182853
6,"{'KAT22', 'PPA', 'PPKr', 'HSK'}",4,1.723232802526377,0.05268253349377003,0.0,1.7286170389182591
7,"{'PPA', 'PPCK', 'PPKr', 'HSK'}",4,1.723232802526326,0.05268253349376694,0.0,1.7286170389182907
8,"{'APTNAT', 'PPA', 'PPKr', 'HSK'}",4,1.7232328025258719,0.05268253349381293,0.0,1.7286170389182678
9,"{'AASAD3', 'PPA', 'PPKr', 'HSK'}",4,1.7232328025263737,0.05268253349376895,0.0,1.7286170389182836
