,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,{'FALDM'},1,1.2003490714618259e-05,0.4178024761280038,0.0,0.02261656441717913
1,{'ACOAD22f'},1,0.0,0.41780469358012207,0.0,0.022616564417160062
2,{'G6PBDH'},1,0.0,0.41780469358021644,0.0,0.022616564417158147
3,{'ACONTb'},1,0.0,0.39482667550268014,0.0,0.02247552447551686
4,"{'HACD4i', 'FALDM'}",2,1.2003490375833703e-05,0.4178024761280657,0.0,0.022616564417180213
5,"{'ICDHyr', 'GLYCTO1'}",2,0.0,0.33706920167808785,0.0,0.018781456953657266
6,"{'ACONTb', 'ICDHyr'}",2,0.0,0.3948266755027827,0.0,0.022475524475525255
7,"{'G6PBDH', 'HACD1i'}",2,0.0,0.4178046935801226,0.0,0.022616564417185042
8,"{'ACOAD22f', 'GLYCTO1'}",2,0.0,0.3471126734498291,0.0,0.018790184049074565
9,"{'ACONTb', 'GLYCTO1', 'FALDM'}",3,1.1645102245619321e-05,0.31580780918706886,0.0,0.01994960629921355
