,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'ICDHyr', 'FALDM'}",2,1.2543724403341015e-05,0.4044634520872574,0.0,0.022536423841063108
1,"{'ECOAH7', 'FALDM'}",2,0.0,0.41780247612794685,0.0,0.02261656441716947
2,"{'GLYALDDr', 'ICDHyr'}",2,0.0,0.39744208396312003,0.0,0.022378231292517092
3,"{'GLYALDDr', 'ACOAD3f'}",2,0.0,0.40923583826222143,0.0,0.022152760736171992
4,"{'TALA', 'PDHbr'}",2,0.0,0.41020797173497153,0.0,0.020877300613498406
5,"{'PGI', 'MICITDr'}",2,0.0,0.4178046935800729,0.0,0.022616564417175355
6,"{'ACOAD1f', 'PDHbr'}",2,0.0,0.4106136777248931,0.0,0.020877300613503055
7,"{'ACOAD1f', 'FALDM'}",2,1.9105468596070097e-09,0.4178024761280627,0.0,0.022616564417179214
8,"{'ECOAH7', 'TALA', 'PGLCNDH'}",3,0.0,0.41693324056531056,0.0,0.02261656441717677
9,"{'ECOAH7', 'ICDHyr', 'TALA'}",3,0.0,0.40387550987578735,0.0,0.02253642384106043
