,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'GUAD', 'HACD7i'}",2,4.880941873765255e-09,0.41780469358007744,0.0,0.022616564417176577
1,"{'FRDO5r', 'PYK'}",2,0.0,0.41780469358007377,0.0,0.022616564417182322
2,"{'HIUHY', 'ICDHyr'}",2,0.0,0.4044657033345362,0.0,0.022536423841060402
3,"{'PRPPS', 'CAT'}",2,0.0,0.3878131654706658,0.0,0.020993251533727844
4,"{'RPE', '3OXCOAT'}",2,0.0,0.09111744815276016,0.0,0.004992024539873477
5,"{'CAT', 'TKT2'}",2,0.0,0.3854111057999388,0.0,0.02099325153371656
6,"{'GUAD', 'PHAP2C80'}",2,0.0,0.41780469358007366,0.0,0.0
7,"{'PRPPS', 'HIUHY'}",2,0.0,0.4178046935801692,0.0,0.022616564417177437
8,"{'PACCOAL', 'HIUHY', 'TKT2'}",3,1.432775326530115e-07,0.41521684781464646,0.0,0.022616564417195242
9,"{'ICDHyr', 'CAT', '3OXCOAT', 'TKT2'}",4,1.0746610425093131e-05,0.058072799952439004,0.0,0.003260927152310456
