,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'ACONTa', 'AKGDa'}",2,9.87147737163685e-09,0.3797513672998941,0.0,0.02247552447553107
1,"{'RPE', 'ASPO6'}",2,0.0,0.4161224537863035,0.0,0.0226165644171738
2,"{'HCO3E', 'AKGDa'}",2,0.0,0.4062896559053195,0.0,0.02253642384105989
3,"{'GGDAPO', 'G3PD2'}",2,0.0,0.4115998533927616,0.0,0.022268711656444756
4,"{'PROD2', 'THRAr'}",2,0.0,0.41780469358006295,0.0,0.02261656441716911
5,"{'GLYALDDr', 'THRAr'}",2,0.0,0.40923583826215754,0.0,0.022152760736196056
6,"{'ASPO1', 'RPE'}",2,0.0,0.4161224537863364,0.0,0.022616564417176216
7,"{'GLYALDDr', 'HCO3E'}",2,0.0,0.4092358382621557,0.0,0.02215276073618823
8,"{'ACONTa', 'PGM'}",2,1.0727422825040911e-08,0.35596896137201317,0.0,0.026800000000002044
9,"{'PGK', 'HACD23i'}",2,0.0,0.41384018537156686,0.0,0.022152760736203966
