,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'4CMLCL_kt', 'UPPN'}",2,8.713169547171261e-06,0.09148126494555098,0.0,0.00499202453988707
1,"{'AGMT', 'FOLD3'}",2,0.0,0.41780469358021866,0.0,0.022616564417174995
2,"{'VALDHr', '3HBCD'}",2,0.0,0.4178046935800823,0.0,0.022616564417170498
3,"{'AGMT', 'PPCK'}",2,0.0,0.4174133755887005,0.0,0.022964417177897295
4,"{'4CMLCL_kt', 'RBK'}",2,0.0,0.09148286170390861,0.0,0.004992024539885079
5,"{'AGMDA', 'PPCK'}",2,0.0,0.41741337558865466,0.0,0.02296441717792419
6,"{'MCITS', 'PPCK'}",2,0.0,0.41741337558870095,0.0,0.02296441717791184
7,"{'MCITS', '3HBCD'}",2,0.0,0.4178046935800766,0.0,0.02261656441716997
8,"{'MCITS', 'VALDHr'}",2,0.0,0.4178046935801256,0.0,0.0226165644171685
9,"{'AOXHEXCYCL', 'RBK', 'HACD8i'}",3,2.499504302824751e-05,0.4177991216361125,0.0,0.022616564417182322
