,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'PGMT', 'URIC2', 'TKT2'}",3,1.7188161727244022e-09,0.4152168478941748,0.0,0.022616564417176188
1,"{'ACONTb', 'DMPPS', 'IPDDI'}",3,1.125308200851544,0.19714421592673484,0.0,2.2475524475524487
2,"{'UPPN', 'GGSPMDS', 'SUCOAS'}",3,1.2953598267005921,0.172887920123051,0.0,2.25364238410596
3,"{'UPPN', 'DMPPS', 'ABTA', 'IPDDI'}",4,2.035490798423979,0.04178046918950039,0.0,2.2616564417177956
4,"{'ACONTb', 'ORNCD', 'ABTA', 'MALS'}",4,0.5993735653219715,0.2675787089558053,0.49326218258339033,0.7265270700867198
5,"{'GGDAPS', 'UPPN', 'DMPPS', 'IPDDI'}",4,2.0354907975460277,0.041780469358059236,0.0,2.2616564417177933
6,"{'UPPN', 'DMPPS', 'GGSPMDS', 'IPDDI'}",4,2.035490797545757,0.041780469358059236,0.0,2.261656441717792
7,"{'GGDAPO', 'UPPN', 'DMPPS', 'IPDDI'}",4,2.0354907975457337,0.041780469358059236,0.0,2.2616564417177925
8,"{'ACONTb', 'DMPPS', 'GGSPMDS', 'IPDDI'}",4,1.12530820085179,0.19714421592669112,0.0,2.2475524475524473
9,"{'GALUi', 'MAN6PI', 'URIC2', 'PPA2'}",4,3.432775730338733e-10,0.41780469358003797,0.0,0.022616564417180907
