,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'CYTK1', 'FALDM'}",2,1.1969787364676733e-05,0.4166293701067912,0.0,0.022616564417172358
1,"{'ALCD19', 'CYTK1'}",2,0.0,0.40808678188678527,0.0,0.02215276073620115
2,"{'GG15DAPDxr', 'MAN6PI'}",2,0.0,0.4178046935800796,0.0,0.022616564417184765
3,"{'GG15DAPDxr', 'TPI'}",2,0.0,0.4111945846138982,0.0,0.02215276073619843
4,"{'TPI', 'TKT2'}",2,0.0,0.40976896777003957,0.0,0.02215276073618712
5,"{'MDH', 'TKT2'}",2,0.0,0.3979794407676341,0.0,0.022911920529796265
6,"{'OXOAEL', 'TKT2', 'FALDM'}",3,2.6121443059065608e-06,0.0909202483382065,0.0,0.004992024539876464
7,"{'CBMKr', 'PGI', 'OXOAEL'}",3,0.0,0.09092195835667448,0.0,0.004992024539871395
8,"{'MDH', 'CYTK1', 'OXOAEL', 'FALDM'}",4,2.746693611496015e-06,0.08856517681090452,0.0,0.005013245033114323
9,"{'GALUi', 'XAND', 'MDH', 'ALCD19'}",4,8.997346867545275e-09,0.39175093799754035,0.0,0.022286092715239667
