,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'G5SD', 'FALDM'}",2,1.1989181269366078e-05,0.41730440931440443,0.0,0.02261656441716184
1,"{'ACOAD25f', 'ACOAD24f'}",2,1.7007986685690923e-10,0.4178046935800761,0.0,0.022616564417194368
2,"{'HPYRI', 'ACOAD24f'}",2,0.0,0.4178046935800794,0.0,0.022616564417160312
3,"{'PRPPS', 'OHCUDC2'}",2,0.0,0.41780469358007327,0.0,0.022616564417165252
4,"{'TRSARr', 'PPKr'}",2,0.0,0.4110951387543289,0.0,0.02261656441718507
5,"{'HPYRI', 'OIVD1r'}",2,0.0,0.41780469358007627,0.0,0.02261656441716689
6,"{'HPYRI', 'PPKr'}",2,0.0,0.411095138754374,0.0,0.022616564417173413
7,"{'APATr', 'ACOAD24f'}",2,2.2221689419121837e-10,0.41780469358014455,0.0,0.022616564417161977
8,"{'ACOAD25f', 'HPYRI', 'TRSARr'}",3,0.0,0.40709362984676933,0.0,0.02203680981594984
9,"{'ECOAH26', 'KAT6', '23CTI1'}",3,2.3699539830612792e-09,0.41780469358014183,0.0,0.022616564417150625
