cycle	biomass	PET	ethilene_glycol	terephtalate	PHA
161.0	0.0092654006965	9.772112445	0.0	0.0	0.073715792989
162.0	0.0093944113708	9.7685613575	0.0	0.0	0.074864478931
163.0	0.009525218379	9.764960825	0.0	0.0	0.076029159082
164.0	0.0096578467332	9.7613101589	0.0	0.0	0.077210056143
165.0	0.0097923217936	9.7576086613	0.0	0.0	0.078407395918
166.0	0.0099286692737	9.7538556243	0.0	0.0	0.079621407352
167.0	0.010066915245	9.7500503303	0.0	0.0	0.080852322581
168.0	0.010207086141	9.7461920518	0.0	0.0	0.082100376973
169.0	0.010349208766	9.7422800509	0.0	0.0	0.083365809171
170.0	0.010493310294	9.7383135796	0.0	0.0	0.084648861142
171.0	0.01063941828	9.7342918795	0.0	0.0	0.085949778223
172.0	0.010787560662	9.7302141815	0.0	0.0	0.087268809165
173.0	0.010937765766	9.7260797061	0.0	0.0	0.088606206186
174.0	0.011090062313	9.7218876625	0.0	0.0	0.089962225013
175.0	0.011244479425	9.7176372493	0.0	0.0	0.091337124933
176.0	0.011401046628	9.7133276537	0.0	0.0	0.092731168847
177.0	0.01155979386	9.7089580516	0.0	0.0	0.094144623313
178.0	0.011720751475	9.7045276075	0.0	0.0	0.095577758602
179.0	0.011883950251	9.7000354743	0.0	0.0	0.097030848749
180.0	0.012049421393	9.695480793	0.0	0.0	0.098504171603
181.0	0.012217196542	9.6908626928	0.0	0.0	0.099998008882
182.0	0.012387307777	9.6861802904	0.0	0.0	0.10151264623
183.0	0.012559787628	9.6814326907	0.0	0.0	0.10304837326
184.0	0.012734669074	9.6766189858	0.0	0.0	0.10460548363
185.0	0.012911985554	9.6717382552	0.0	0.0	0.10618427507
186.0	0.013091770975	9.6667895658	0.0	0.0	0.10778504948
187.0	0.013274059713	9.6617719712	0.0	0.0	0.10940811294
188.0	0.013458886625	9.6566845121	0.0	0.0	0.11105377579
189.0	0.013646287051	9.6515262156	0.0	0.0	0.11272235273
190.0	0.013836296825	9.6462960954	0.0	0.0	0.11441416279
191.0	0.014028952279	9.6409931514	0.0	0.0	0.11612952947
192.0	0.014224290252	9.6356163697	0.0	0.0	0.11786878078
193.0	0.014422348095	9.6301647221	0.0	0.0	0.11963224928
194.0	0.014623163679	9.6246371663	0.0	0.0	0.12142027216
195.0	0.014826775403	9.6190326452	0.0	0.0	0.12323319134
196.0	0.015033222199	9.6133500872	0.0	0.0	0.12507135344
197.0	0.015242543544	9.6075884057	0.0	0.0	0.12693510997
198.0	0.015454779462	9.6017464991	0.0	0.0	0.12882481729
199.0	0.015669970535	9.5958232502	0.0	0.0	0.13074083673
200.0	0.01588815791	9.5898175265	0.0	0.0	0.13268353468
201.0	0.016109383309	9.5837281796	0.0	0.0	0.13465328259
202.0	0.016333689032	9.5775540452	0.0	0.0	0.1366504571
203.0	0.01656111797	9.5712939426	0.0	0.0	0.13867544011
204.0	0.016791713609	9.5649466748	0.0	0.0	0.14072861882
205.0	0.017025520042	9.5585110283	0.0	0.0	0.14281038581
206.0	0.017262581978	9.5519857723	0.0	0.0	0.14492113916
207.0	0.017502944744	9.5453696592	0.0	0.0	0.14706128246
208.0	0.017746654301	9.5386614238	0.0	0.0	0.14923122495
209.0	0.01799375725	9.5318597836	0.0	0.0	0.15143138153
210.0	0.01824430084	9.5249634379	0.0	0.0	0.15366217291
211.0	0.018498332979	9.517971068	0.0	0.0	0.15592402564
212.0	0.01875590224	9.510881337	0.0	0.0	0.15821737223
213.0	0.019017057874	9.5036928891	0.0	0.0	0.16054265118
214.0	0.019281849817	9.4964043499	0.0	0.0	0.16290030713
215.0	0.019550328702	9.4890143256	0.0	0.0	0.16529079088
216.0	0.019822545865	9.4815214033	0.0	0.0	0.16771455954
217.0	0.020098553356	9.4739241501	0.0	0.0	0.17017207654
218.0	0.020378403954	9.4662211134	0.0	0.0	0.17266381181
219.0	0.020662151168	9.4584108203	0.0	0.0	0.1751902418
220.0	0.020949849254	9.4504917773	0.0	0.0	0.17775184959
221.0	0.021241553226	9.4424624701	0.0	0.0	0.18034912499
222.0	0.021537318859	9.4343213636	0.0	0.0	0.18298256464
223.0	0.021837202708	9.426066901	0.0	0.0	0.18565267209
224.0	0.022141262115	9.4176975039	0.0	0.0	0.1883599579
225.0	0.022449555221	9.409211572	0.0	0.0	0.19110493973
226.0	0.022762140974	9.4006074827	0.0	0.0	0.19388814245
227.0	0.023079079145	9.3918835908	0.0	0.0	0.19671009827
228.0	0.023400430338	9.3830382282	0.0	0.0	0.19957134676
229.0	0.023726255998	9.3740697034	0.0	0.0	0.20247243504
230.0	0.024056618427	9.3649763016	0.0	0.0	0.20541391784
231.0	0.024391580796	9.3557562841	0.0	0.0	0.2083963576
232.0	0.024731207152	9.3464078878	0.0	0.0	0.2114203246
233.0	0.025075562439	9.3369293252	0.0	0.0	0.21448639707
234.0	0.0254247125	9.3273187839	0.0	0.0	0.21759516128
235.0	0.025778724097	9.3175744261	0.0	0.0	0.22074721167
236.0	0.026137664923	9.3076943888	0.0	0.0	0.22394315094
237.0	0.026501603611	9.2976767826	0.0	0.0	0.22718359021
238.0	0.026870609751	9.2875196922	0.0	0.0	0.23046914909
239.0	0.027244753903	9.2772211752	0.0	0.0	0.23380045582
240.0	0.027624107606	9.2667792625	0.0	0.0	0.23717814739
241.0	0.0280087434	9.2561919575	0.0	0.0	0.24060286966
242.0	0.02839873483	9.2454572357	0.0	0.0	0.24407527747
243.0	0.028794156469	9.2345730446	0.0	0.0	0.24759603481
244.0	0.029195083926	9.2235373029	0.0	0.0	0.25116581488
245.0	0.029601593864	9.2123479004	0.0	0.0	0.25478530028
246.0	0.030013764012	9.2010026976	0.0	0.0	0.25845518309
247.0	0.030431673184	9.1894995251	0.0	0.0	0.26217616505
248.0	0.030855401289	9.1778361834	0.0	0.0	0.26594895765
249.0	0.031285029349	9.1660104423	0.0	0.0	0.2697742823
250.0	0.031720639514	9.1540200406	0.0	0.0	0.27365287046
251.0	0.032162315079	9.1418626855	0.0	0.0	0.27758546376
252.0	0.032610140499	9.1295360524	0.0	0.0	0.28157281416
253.0	0.033064201402	9.1170377843	0.0	0.0	0.28561568411
254.0	0.033524584612	9.1043654913	0.0	0.0	0.28971484664
255.0	0.03399137816	9.0915167503	0.0	0.0	0.29387108557
256.0	0.034464671303	9.0784891046	0.0	0.0	0.29808519562
257.0	0.034944554541	9.065280063	0.0	0.0	0.3023579826
258.0	0.035431119632	9.0518870997	0.0	0.0	0.30669026351
259.0	0.035924459617	9.038307654	0.0	0.0	0.31108286675
260.0	0.036424668826	9.0245391292	0.0	0.0	0.31553663222
261.0	0.036931842907	9.0105788926	0.0	0.0	0.32005241156
262.0	0.037446078838	8.9964242748	0.0	0.0	0.32463106824
263.0	0.037967474948	8.9820725692	0.0	0.0	0.32927347776
264.0	0.038496130934	8.9675210318	0.0	0.0	0.3339805278
265.0	0.039032147882	8.9527668799	0.0	0.0	0.33875311842
266.0	0.039575628286	8.9378072924	0.0	0.0	0.3435921622
267.0	0.040126676067	8.9226394088	0.0	0.0	0.34849858442
268.0	0.040685396591	8.9072603289	0.0	0.0	0.35347332326
269.0	0.041251896694	8.8916671119	0.0	0.0	0.35851732996
270.0	0.041826284697	8.8758567763	0.0	0.0	0.36363156899
271.0	0.042408670431	8.8598262989	0.0	0.0	0.36881701825
272.0	0.042999165257	8.8435726144	0.0	0.0	0.37407466929
273.0	0.043597882083	8.827092615	0.0	0.0	0.37940552742
274.0	0.044204935393	8.8103831494	0.0	0.0	0.38481061199
275.0	0.044820441264	8.7934410226	0.0	0.0	0.3902909565
276.0	0.045444517387	8.7762629951	0.0	0.0	0.39584760888
277.0	0.046077283094	8.7588457821	0.0	0.0	0.40148163163
